guid,text,tag
4597,RT The conspirators have an evil eye & are now set to physically attack Asaram Bapu Ji! WeDemandSafety4Bapuji,0
26,"Waxwing trills, Chickadees calling ""here sweetie"", enthusiastic athletes, blue sky & snow at ualbertafarm UAlberta 
",1
4383,is looking a little despondent today...???,0
212,"FERVENT | S,M,L | 140k free PLASTIC CLIP, keychain rubber AND sticker 085725737197 / 28ae36f3 
",2
2626,"Nice day chilling in the park yesterday relieved my mood for a short while. friends summer outside depression 
",2
3042,"Ford : F-350 Lariat 6.4L 2008 Lariat Heated Leather Rear Camera 2008 ford f 250 diesel 4 x… 
",1
4713,RT Furious 7,2
2073,"The flowers look like a dejected King Tritan: 
",0
2020,"廃墟 廃線 abandoned 写真撮ってる人と繋がりたい 写真好きな人と繋がりたい 
",2
2688,"RT UPDATE!Navy discarded ilegal fishing after boarding chinese vessels in Chile's Excl Econ Zone htt… 
",0
4956,Arden B Womens Blue Solid Dress Sz M Medium Short Sleeve Modal Blend Above Knee,2
3143,"RT De eerste kilometers in open water met 
",2
3624,"DVF Diane von Furstenberg Naples Ankle Soft Canvas Blossom Black Tuxedo Pants 4 
",2
202,"RT ""Oh, don't you worry, most of you will never fall in love and marry out of fear of dying alone."" 
",0
4486,RT Dizzy Sunfistのあやぺたが展示会に遊びに来てくれました??わざわざありがとう??今日は町田SDRでLIVEです?? LEFLAH レフラー ディジー 原宿 大阪 酒,2
4895,Just an intense game of tic tac toe?? tinderproblems,2
2855,"RT Some Fenerbahce fans getting a bid too excited about Van Persie's arrival in Istanbul (via ) 
",2
3066,"RT Look how cute this chicken is ?? 
",2
2100,"LOOK AT THESE STUNNING PHOTOS OF A DESERTED NYC IN THE... 
",0
3457,"RT a man took care of a cat that was paralyzed after being hit by human 
",2
4776,"RT Happy 23rd Birthday, I can't believe it's been 7 years since we met!! I love you so much, always.",2
4784,友達にも教えてあげよう！,1
1921,"RT Pied!! With an awesome black blotched pattern... 
",2
951,"Don't feed the evil Givelove Feellove and belove 
",0
231,"Thank you for featuring Sally' designs in your March/April issue delighted ? 
",2
396,"Only 6 months until 5SOS performs at !!!! RockOutWithYourSocksOut Ecstatic Pumped ????? 
",1
1305,"news New post: central europeans feel crushed by swiss franc loans 
",0
4001,,0
3786,"RT Lorry runs into drain after colliding with car along Yio Chu Kang Road, driver trapped 
",0
403,"""A heart is not judged by how much you love, but by how much you are loved by others."" --Frank Morgan 
",2
3669,"Man stabbed to death in Sunshine North >> 
",0
3244,"RT Only 1 Left So Take Advantage Of This Rare Ohio State - Heisman O-H-I-O -Framed Photo! ? 
",2
3922,"RT The search is on and James is worried. The encore screening of Banished, 8.30pm. 
",0
1986,"RT Happy birthday you cheerful little elf ??? 
",2
445,"RT LoveLive Kotori, Happy Valentine's Day 
",2
743,"Wicked cool Valentine's Day drinks courtesy of my fabulous wife 1in7billion 
",2
725,"Vacant chair is never empty it's full ofwonderful memoriesJonStewartGeorge'squestforworldpeace.X 
",2
607,"Storming Home. The horses race to beat the storm. Available through the web site. Necktie character collection 
",2
4208,RT everyone should appreciate Harry bc he is so caring to everyone he meets HarryAppreciationDay ?,2
138,"RT They meet ... 
",2
1562,"Are YOU ready for gametime?Enjoy this NBA Season on this awesome new sectional!Heated Massage seats!ON SALE NOW 
",2
3874,"Thank you for this non white washed beauty 
",2
2164,"RT Ya Allah! satisfy every hungry one, clothe d unclothed,help every debtor pay his debts, relieve every distressed one. 
",2
1383,"Me-ow! Up till the wee hours finishing this off… way past my bedtime! Devoted PenArt Colour knackered 
",0
1541,"At -- N?o é um adeus... ? um 'té logo! sunset in the eiffeltower paris 
",2
4002,RT Abandoned swimming pool taken over by nature.,0
2044,"Poor getting crushed by 12 to 4 at half time. 
",1
1688,"damaged fences do not always need replacing concrete fence bolt on supports often suffice 
",2
